Ambient: 40.00 lux | Proximity: 29.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 51.00 lux | Proximity: 8.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 9.00 lux | Proximity: 45.00 meters | Headlights: ON | High Beams: ON
Ambient: 45.00 lux | Proximity: 11.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 98.00 lux | Proximity: 3.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 61.00 lux | Proximity: 47.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 23.00 lux | Proximity: 16.00 meters | Headlights: ON | High Beams: ON
Ambient: 48.00 lux | Proximity: 5.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 31.00 lux | Proximity: 42.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 23.00 lux | Proximity: 37.00 meters | Headlights: ON | High Beams: ON
Ambient: 40.00 lux | Proximity: 29.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 51.00 lux | Proximity: 8.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 9.00 lux | Proximity: 45.00 meters | Headlights: ON | High Beams: ON
Ambient: 45.00 lux | Proximity: 11.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 98.00 lux | Proximity: 3.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 61.00 lux | Proximity: 47.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 23.00 lux | Proximity: 16.00 meters | Headlights: ON | High Beams: ON
Ambient: 48.00 lux | Proximity: 5.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 31.00 lux | Proximity: 42.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 23.00 lux | Proximity: 37.00 meters | Headlights: ON | High Beams: ON
Ambient: 40.00 lux | Proximity: 29.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 51.00 lux | Proximity: 8.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 9.00 lux | Proximity: 45.00 meters | Headlights: ON | High Beams: ON
Ambient: 45.00 lux | Proximity: 11.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 98.00 lux | Proximity: 3.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 61.00 lux | Proximity: 47.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 23.00 lux | Proximity: 16.00 meters | Headlights: ON | High Beams: ON
Ambient: 48.00 lux | Proximity: 5.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 31.00 lux | Proximity: 42.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 23.00 lux | Proximity: 37.00 meters | Headlights: ON | High Beams: ON
Ambient: 40.00 lux | Proximity: 29.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 51.00 lux | Proximity: 8.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 9.00 lux | Proximity: 45.00 meters | Headlights: ON | High Beams: ON
Ambient: 45.00 lux | Proximity: 11.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 98.00 lux | Proximity: 3.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 61.00 lux | Proximity: 47.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 23.00 lux | Proximity: 16.00 meters | Headlights: ON | High Beams: ON
Ambient: 48.00 lux | Proximity: 5.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 31.00 lux | Proximity: 42.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 23.00 lux | Proximity: 37.00 meters | Headlights: ON | High Beams: ON
Ambient: 40.00 lux | Proximity: 29.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 51.00 lux | Proximity: 8.00 meters | Headlights: OFF | High Beams: OFF
Ambient: 9.00 lux | Proximity: 45.00 meters | Headlights: ON | High Beams: ON
Ambient: 45.00 lux | Proximity: 11.00 meters | Headlights: OFF | High Beams: OFF
